epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,33.9046,0.74477,1.76437,1.08226,0.58332,0.55067,0.58159,0.41057,1.26786,5.00752,1.48912,9.72097e-05,9.72097e-05,9.72097e-05
2,63.921,0.7437,1.77245,1.07639,0.64971,0.49487,0.55328,0.38553,1.30168,5.08677,1.51166,0.000191345,0.000191345,0.000191345
3,93.3295,0.78535,1.96869,1.09292,0.58124,0.47795,0.50505,0.3442,1.31488,5.41733,1.5205,0.000281599,0.000281599,0.000281599
4,122.57,0.80972,2.05739,1.10676,0.552,0.5073,0.51774,0.36049,1.32396,5.73278,1.53281,0.000276536,0.000276536,0.000276536
5,151.725,0.8144,2.10584,1.11659,0.58387,0.48774,0.52269,0.36082,1.31339,5.42655,1.49952,0.000270715,0.000270715,0.000270715
6,180.906,0.82592,2.16031,1.12646,0.56423,0.52313,0.53099,0.36895,1.30532,5.33347,1.49975,0.000264894,0.000264894,0.000264894
7,210.011,0.83181,2.12333,1.12518,0.58602,0.47953,0.5132,0.35253,1.31497,5.44167,1.52405,0.000259073,0.000259073,0.000259073
8,239.124,0.82253,2.05954,1.1251,0.52003,0.53262,0.52125,0.35466,1.31788,5.13391,1.49018,0.000253252,0.000253252,0.000253252
9,268.192,0.83238,2.11247,1.1237,0.53854,0.52864,0.51632,0.35379,1.3266,5.34012,1.51958,0.00024743,0.00024743,0.00024743
10,297.303,0.83084,2.08489,1.12022,0.55137,0.54206,0.5465,0.3713,1.31117,5.19047,1.52619,0.000241609,0.000241609,0.000241609
11,326.475,0.82802,2.02081,1.11944,0.53558,0.47368,0.49372,0.34798,1.31137,5.59987,1.5093,0.000235788,0.000235788,0.000235788
12,355.58,0.82493,1.97516,1.1213,0.57222,0.52489,0.53791,0.36547,1.32353,5.05698,1.50972,0.000229967,0.000229967,0.000229967
13,384.687,0.80471,1.91928,1.11044,0.54057,0.51742,0.53537,0.36989,1.30675,5.33869,1.48628,0.000224146,0.000224146,0.000224146
14,413.769,0.81089,1.96584,1.11624,0.58733,0.51339,0.54095,0.37673,1.31874,5.19838,1.51464,0.000218324,0.000218324,0.000218324
15,442.804,0.83,1.96854,1.11998,0.60766,0.48595,0.53484,0.37064,1.29572,5.32206,1.47829,0.000212503,0.000212503,0.000212503
16,471.84,0.79598,1.87489,1.10042,0.59467,0.46709,0.50522,0.34455,1.31165,5.55367,1.51563,0.000206682,0.000206682,0.000206682
17,500.871,0.80121,1.90801,1.11349,0.6299,0.48012,0.55239,0.38073,1.31407,5.351,1.51226,0.000200861,0.000200861,0.000200861
18,529.966,0.80585,1.84509,1.10617,0.5174,0.54603,0.53724,0.36972,1.30434,5.33931,1.50824,0.00019504,0.00019504,0.00019504
19,559.002,0.80101,1.85598,1.11093,0.58465,0.51755,0.55139,0.38067,1.31872,5.24146,1.53165,0.000189218,0.000189218,0.000189218
20,588.1,0.78722,1.79227,1.09963,0.57853,0.49648,0.54061,0.37679,1.29615,5.51626,1.50139,0.000183397,0.000183397,0.000183397
21,617.178,0.78699,1.76981,1.10101,0.54744,0.53624,0.55604,0.38943,1.30077,5.28377,1.49363,0.000177576,0.000177576,0.000177576
22,646.255,0.78401,1.78055,1.0948,0.55659,0.52884,0.54929,0.38716,1.2837,5.28858,1.48749,0.000171755,0.000171755,0.000171755
23,675.349,0.77768,1.74636,1.09732,0.5717,0.51747,0.5448,0.37989,1.28471,5.47808,1.51176,0.000165934,0.000165934,0.000165934
24,704.433,0.75708,1.70959,1.08784,0.56071,0.54033,0.54603,0.3835,1.28788,5.2985,1.50438,0.000160112,0.000160112,0.000160112
25,733.59,0.76468,1.70338,1.08787,0.54218,0.55342,0.54804,0.37706,1.30807,5.29232,1.51329,0.000154291,0.000154291,0.000154291
26,762.804,0.75684,1.69083,1.08529,0.56071,0.54858,0.56155,0.39105,1.29913,5.10069,1.51163,0.00014847,0.00014847,0.00014847
27,791.974,0.76533,1.68782,1.08467,0.63331,0.50683,0.55914,0.3917,1.29374,5.12708,1.49889,0.000142649,0.000142649,0.000142649
28,821.212,0.75439,1.62998,1.07923,0.63887,0.52094,0.56266,0.38967,1.31647,5.32004,1.52207,0.000136828,0.000136828,0.000136828
29,850.404,0.75062,1.60858,1.0734,0.56872,0.5553,0.56228,0.39457,1.28196,5.22106,1.49104,0.000131006,0.000131006,0.000131006
30,879.592,0.74519,1.58432,1.07713,0.59637,0.54932,0.56804,0.39572,1.29506,5.35311,1.50696,0.000125185,0.000125185,0.000125185
31,908.869,0.72293,1.58211,1.06836,0.59127,0.55107,0.56942,0.39283,1.29569,5.45731,1.5123,0.000119364,0.000119364,0.000119364
32,938.037,0.7347,1.56138,1.06897,0.59666,0.55131,0.57115,0.39402,1.31199,5.26018,1.51451,0.000113543,0.000113543,0.000113543
33,967.185,0.7254,1.53166,1.06398,0.61024,0.538,0.57495,0.40246,1.27777,5.26667,1.5093,0.000107722,0.000107722,0.000107722
34,996.402,0.73176,1.56025,1.06356,0.56509,0.54904,0.5659,0.39446,1.2965,5.36617,1.51292,0.0001019,0.0001019,0.0001019
35,1025.57,0.72467,1.52876,1.06095,0.65836,0.52494,0.5868,0.41052,1.28968,5.16536,1.51726,9.60792e-05,9.60792e-05,9.60792e-05
36,1054.72,0.70857,1.48625,1.05148,0.60243,0.52601,0.56575,0.38594,1.30601,5.31041,1.51575,9.0258e-05,9.0258e-05,9.0258e-05
37,1083.95,0.71394,1.47452,1.05714,0.60103,0.55443,0.576,0.40607,1.28433,5.22579,1.50427,8.44368e-05,8.44368e-05,8.44368e-05
38,1113.15,0.69876,1.44421,1.05512,0.62114,0.51459,0.55813,0.39308,1.30127,5.52951,1.51155,7.86156e-05,7.86156e-05,7.86156e-05
39,1142.35,0.69359,1.44652,1.05106,0.58371,0.52452,0.56128,0.39201,1.29671,5.43703,1.51875,7.27944e-05,7.27944e-05,7.27944e-05
40,1171.57,0.70419,1.43746,1.05031,0.59065,0.52922,0.5608,0.39659,1.2942,5.3694,1.51805,6.69732e-05,6.69732e-05,6.69732e-05
41,1209.34,0.64922,1.13705,1.00983,0.57187,0.54555,0.5419,0.38015,1.30366,5.21533,1.54083,6.1152e-05,6.1152e-05,6.1152e-05
42,1238.42,0.63539,1.05653,0.99858,0.60868,0.51814,0.55774,0.39237,1.28614,5.35445,1.52499,5.53308e-05,5.53308e-05,5.53308e-05
43,1267.41,0.62691,1.048,1.003,0.62994,0.51344,0.56002,0.38851,1.29061,5.23339,1.51329,4.95096e-05,4.95096e-05,4.95096e-05
44,1296.41,0.62124,1.05255,0.99826,0.58452,0.51978,0.55607,0.38968,1.28772,5.24932,1.51256,4.36884e-05,4.36884e-05,4.36884e-05
45,1325.41,0.61033,1.01909,0.99066,0.61199,0.50923,0.55587,0.38863,1.29707,5.4092,1.53177,3.78672e-05,3.78672e-05,3.78672e-05
46,1354.42,0.599,0.97846,0.9854,0.60519,0.52871,0.56773,0.39777,1.29052,5.3456,1.52635,3.2046e-05,3.2046e-05,3.2046e-05
47,1383.47,0.59,0.97854,0.98109,0.56842,0.54913,0.57304,0.39795,1.294,5.35796,1.53212,2.62248e-05,2.62248e-05,2.62248e-05
48,1412.41,0.58916,0.94369,0.98107,0.56324,0.55153,0.57247,0.39941,1.29253,5.39508,1.52553,2.04036e-05,2.04036e-05,2.04036e-05
49,1441.47,0.59464,0.95024,0.97717,0.58855,0.53451,0.56841,0.398,1.29129,5.35483,1.52566,1.45824e-05,1.45824e-05,1.45824e-05
50,1470.4,0.58136,0.94907,0.97491,0.5864,0.54466,0.5711,0.4015,1.2833,5.3666,1.5173,8.7612e-06,8.7612e-06,8.7612e-06
