epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.6937,0.95662,0.71415,1.12511,0.74618,0.79351,0.83975,0.61926,0.87647,0.79644,1.09999,0.000469328,0.000469328,0.000469328
2,19.5655,0.98911,0.76628,1.14342,0.75516,0.7807,0.84154,0.58454,0.96752,0.85962,1.174,0.0009363,0.0009363,0.0009363
3,28.3367,1.03688,0.84082,1.1662,0.74452,0.76197,0.80678,0.55331,1.01891,0.92169,1.21936,0.00139384,0.00139384,0.00139384
4,37.0914,1.07458,0.86005,1.17459,0.7994,0.67016,0.79905,0.5434,1.08789,1.21147,1.29377,0.00138656,0.00138656,0.00138656
5,45.8567,1.06889,0.84774,1.18212,0.81033,0.77915,0.85108,0.59156,1.01435,0.85209,1.21571,0.00137241,0.00137241,0.00137241
6,54.594,1.01013,0.84102,1.19517,0.78007,0.70582,0.81407,0.55392,1.02561,1.00719,1.2361,0.00135826,0.00135826,0.00135826
7,63.3863,1.0464,0.82749,1.16537,0.80889,0.70891,0.83792,0.57907,1.0413,1.00031,1.23607,0.00134412,0.00134412,0.00134412
8,72.1988,1.03286,0.82042,1.19117,0.7848,0.73089,0.81218,0.55292,1.05544,0.95674,1.23298,0.00132997,0.00132997,0.00132997
9,80.9801,1.03831,0.84877,1.18384,0.78223,0.69717,0.82385,0.5817,0.98817,1.00021,1.21769,0.00131582,0.00131582,0.00131582
10,89.7565,1.04971,0.83883,1.18695,0.83472,0.75832,0.85561,0.58931,1.01846,0.93964,1.20049,0.00130168,0.00130168,0.00130168
11,98.5299,1.04534,0.84834,1.19142,0.77516,0.75545,0.83085,0.572,0.98203,0.85147,1.21546,0.00128753,0.00128753,0.00128753
12,107.389,1.05357,0.83604,1.1731,0.80611,0.78183,0.86091,0.59688,0.99512,0.87921,1.19258,0.00127338,0.00127338,0.00127338
13,116.241,1.03383,0.81574,1.18069,0.83129,0.75084,0.85601,0.5994,1.00505,0.81866,1.19558,0.00125923,0.00125923,0.00125923
14,125.124,1.05752,0.83082,1.17691,0.79413,0.74887,0.83296,0.57502,1.00705,0.88748,1.21794,0.00124509,0.00124509,0.00124509
15,133.88,1.02323,0.8141,1.17148,0.74294,0.7033,0.80572,0.56042,1.01543,1.10127,1.20874,0.00123094,0.00123094,0.00123094
16,142.669,0.99942,0.7914,1.15724,0.8369,0.75495,0.85548,0.60285,0.97875,0.89137,1.16558,0.00121679,0.00121679,0.00121679
17,151.46,1.00957,0.79429,1.16239,0.81218,0.76692,0.84876,0.59708,0.98041,0.87266,1.17028,0.00120265,0.00120265,0.00120265
18,160.231,0.99991,0.77812,1.15006,0.76206,0.78112,0.83654,0.57647,0.98966,0.85855,1.20575,0.0011885,0.0011885,0.0011885
19,169.016,1.01684,0.78638,1.15255,0.81052,0.77972,0.85801,0.59892,0.99243,0.82161,1.20299,0.00117435,0.00117435,0.00117435
20,177.809,1.00523,0.78701,1.16918,0.83159,0.75734,0.8534,0.60936,0.96362,0.86507,1.16521,0.00116021,0.00116021,0.00116021
21,186.646,1.02305,0.77611,1.14968,0.80499,0.76702,0.84704,0.59796,0.9708,0.82595,1.16986,0.00114606,0.00114606,0.00114606
22,195.484,1.03547,0.78113,1.1524,0.82938,0.75089,0.86015,0.62375,0.9495,0.80817,1.13718,0.00113191,0.00113191,0.00113191
23,204.302,0.9903,0.76856,1.16269,0.84377,0.73053,0.85206,0.61288,0.95721,0.86398,1.1599,0.00111776,0.00111776,0.00111776
24,213.165,1.00059,0.75964,1.14658,0.78299,0.7813,0.84411,0.58901,0.97323,0.81873,1.17582,0.00110362,0.00110362,0.00110362
25,221.963,1.0154,0.76518,1.14552,0.82699,0.77109,0.8584,0.61106,0.94919,0.81407,1.164,0.00108947,0.00108947,0.00108947
26,230.809,0.983,0.75118,1.1532,0.83208,0.73551,0.8455,0.60386,0.94596,0.86206,1.15531,0.00107532,0.00107532,0.00107532
27,239.582,0.97332,0.76398,1.14381,0.79826,0.80689,0.87416,0.62555,0.91992,0.74557,1.13527,0.00106118,0.00106118,0.00106118
